hostname,ipaddress
HDRAC20-M02H-ALX-EG,10.40.67.139
HDRACB21-M01H-ALX-EG,10.40.67.146
HDRACB21-M02H-ALX-EG,10.40.67.147
HADRAC22-M01H-ALX-EG,10.40.67.154
HADRAC22-M02H-ALX-EG,10.40.67.155
HDARAH-M01H-ALX-EG,10.41.133.218
HDARAH-M02H-ALX-EG,10.42.19.38
HDRACB25-M01H-ALX-EG,10.40.204.66
HADRC117-M01Z-ALX-EG,10.50.184.58
HDRACB46-M01Z-ALX-EG,10.42.18.58
HDARAH42-M01H-ALX-EG,10.41.70.186
HDARAH42-M02H-ALX-EG,10.41.70.187
HDRACB30-M01H-ALX-EG,10.40.235.138
HDARAH43-M01H-ALX-EG,10.41.70.194
HDARAH43-M02H-ALX-EG,10.41.70.195
HDRACB35-M01H-ALX-EG,10.41.3.162
HDARAC80-M01H-ALX-EG,10.50.95.178
HADRAC81-M01H-ALX-EG,10.50.95.186
HDARAH82-M01H-ALX-EG,10.50.95.194
HDARAH40-M01H-ALX-EG,10.41.38.50
HDARAC76-M01H-ALX-EG,10.50.95.146
HADRAC77-M01H-ALX-EG,10.50.95.154
HDARAC78-M01H-ALX-EG,10.50.95.162
HADRAC79-M01H-ALX-EG,10.50.95.170
HDRAHC48-M01H-ALX-EG,10.42.200.170
HDARAH45-M01H-ALX-EG,10.41.70.210
HDARAH45-M02H-ALX-EG,10.41.70.211
SHNCBL7-M01H-SHR-EG,10.40.83.2
SHNCBL7-M02H-SHR-EG,10.40.83.3
KFRSKR-M01H-SHR-EG,10.41.168.142
KFRSKR12-M01Z-SHR-EG,10.42.89.114
KFRSAQR2-M01H-SHR-EG,10.40.54.218
KFRSAQR3-M01H-SHR-EG,10.40.54.226
KFRSAQR4-M01H-SHR-EG,10.40.54.242
KFRSAQR4-M02H-SHR-EG,10.40.54.243
KFRSKR-M02H-SHR-EG,10.41.221.70
KFRSKRC7-M01H-SHR-EG,10.40.60.178
KFRSKRC7-M02H-SHR-EG,10.40.60.179
KRSKRC06-M01H-SHR-EG,10.40.82.178
KFRSKC10-M01Z-SHR-EG,10.41.84.34
KFRSQC13-M01Z-SHR-EG,10.42.89.122
KFRSKR15-M01H-SHR-EG,10.50.204.58
KFRSKR16-M01H-SHR-EG,10.50.204.66
KFRSKC17-M01H-SHR-EG,10.50.204.74
KFRSKR18-M01H-SHR-EG,10.50.204.82
KFRSKC19-M01Z-SHR-EG,10.50.204.90
KFRSKR20-M01H-SHR-EG,10.50.204.98
KFSKRC21-M01H-SHR-EG,10.50.204.106
KFRSKR22-M01H-SHR-EG,10.50.204.114
KFRSKR22-M02H-SHR-EG,10.50.204.115
KFSKRC23-M01H-SHR-EG,10.50.204.122
KFRSKR24-M01H-SHR-EG,10.50.204.130
KFRSKC25-M01H-SHR-EG,10.50.204.138
KFRSKC25-M02H-SHR-EG,10.50.204.139
KFRSKR26-M01H-SHR-EG,10.50.204.146
KFRSKR26-M02H-SHR-EG,10.50.204.147
KFRSKC27-M01H-SHR-EG,10.50.204.154
KFRSKC27-M02H-SHR-EG,10.50.204.155
KFRSKR28-M01H-SHR-EG,10.50.204.162
KFRSKR28-M02H-SHR-EG,10.50.204.195
KFRSKC29-M01H-SHR-EG,10.50.204.170
KFRSKC29-M02H-SHR-EG,10.50.204.171
KFSKRC30-M01H-SHR-EG,10.50.204.178
KFRSKC31-M01H-SHR-EG,10.50.204.186
KFRSKR32-M01H-SHR-EG,10.50.204.194
KFRSKR33-M01H-SHR-EG,10.50.204.202
KFRSKC34-M01H-SHR-EG,10.50.204.210
KFRSKR35-M01H-SHR-EG,10.50.204.218
KFRSKR36-M01H-SHR-EG,10.50.204.226
NWGCB5-M01H-GH-EG,10.40.63.2
NWGCB1-M01H-GH-EG,10.40.63.18
NWGCB2-M01H-GH-EG,10.40.63.26
NWGCB2-M02H-GH-EG,10.40.63.27
NWGCB6-M01H-GH-EG,10.40.63.10
NWGCB5-M01Z-GH-EG,10.42.143.170
NAWAG-M01H-GH-EG,10.42.208.178
SALAM-M01H-SUZ-EG,10.41.193.6
SLMSZCB3-M02H-SUZ-EG,10.40.66.2
SLMSZCB3-M01H-SUZ-EG,10.40.66.3
SLMSZC21-M01H-SUZ-EG,10.40.98.226
SALAMCB8-M01H-SUZ-EG,10.40.187.250
SALAMCB9-M01H-SUZ-EG,10.40.43.138
SSLMCB11-M01H-SUZ-E,10.40.116.218
SLMSZC12-M01H-SUZ-EG,10.41.242.130
SSLMCB13-M01H-SUZ-EG,10.41.243.202
SLMSUZ41-M01H-SUZ-EG,10.41.77.154
SLMSZC52-M01Z-SUZ-EG,10.42.196.242
SLAMC59-M01Z-SUZ-EG,10.42.197.34
SLAMSZ14-M01H-SUZ-EG,10.40.150.154
SLAMSZ15-M01H-SUZ-EG,10.40.150.162
SLMSUZ22-M01H-SUZ-EG,10.40.98.234
SLMSUZ23-M01H-SUZ-EG,10.40.98.242
SASUZC64-M01Z-SUZ-EG,10.42.45.98
SLAMCB10-M01H-SUZ-EG,10.40.187.242
SLMSZCB6-M01H-SUZ-EG,10.40.43.114
SLMSZC16-M01H-SUZ-EG,10.40.150.170
SLMSZC17-M01H-SUZ-EG,10.40.150.178
SLMSZC18-M01H-SUZ-EG,10.40.150.186
SLMSZC19-M01H-SUZ-EG,10.40.150.194
SLMSZC20-M01H-SUZ-EG,10.40.150.202
SLMSZCB7-M01H-SUZ-EG,10.40.43.122
SZSLMC37-M01Z-SUZ-EG,10.41.61.74
SZSLMC38-M01Z-SUZ-EG,10.41.61.82
SZSLMC39-M01Z-SUZ-EG,10.41.61.90
SZSLMC40-M01Z-SUZ-EG,10.41.61.98
SLMSUZ42-M01H-SUZ-EG,10.41.79.154
SLMSUZ43-M01H-SUZ-EG,10.41.79.162
SLMSZC65-M01Z-SUZ-EG,10.42.196.194
SLMSZC66-M01Z-SUZ-EG,10.42.196.202
SLMSUZ48-M01N-SUZ-EG,10.42.23.210
SLMSUZ49-M01Z-SUZ-EG,10.42.24.2
SLMSUZ47-M01H-SUZ-EG,10.41.58.34
SLMSUZ35-M01H-SUZ-EG,10.41.58.18
SLMSUZ36-M01H-SUZ-EG,10.41.58.26
SLAMC50-M01N-SUZ-EG,10.42.196.218
SLAMC50-M02N-SUZ-EG,10.42.196.219
SLAMC51-M01Z-SUZ-EG,10.42.196.226
SSUEZC67-M01Z-SUZ-EG,10.42.196.210
SLMSZC53-M01Z-SUZ-EG,10.42.196.250
SLMSZC54-M01Z-SUZ-EG,10.42.196.234
SLMCAB55-M01Z-SUZ-EG,10.42.197.2
SLMCAB56-M01Z-SUZ-EG,10.42.197.10
SLMCAB60-M01Z-SUZ-EG,10.42.197.42
SLMSZC61-M01Z-SUZ-EG,10.42.197.50
SLMSZC62-M01Z-SUZ-EG,10.42.197.58
SLMSZC63-M01Z-SUZ-EG,10.42.197.66
SLMSZC68-M01N-SUZ-EG,10.42.228.42
SLMSZC68-M02N-SUZ-EG,10.42.228.43
SALAMC69-M01H-SUZ-EG,10.42.228.50
SALAMC70-M01H-SUZ-EG,10.42.228.58
SALAMC71-M01H-SUZ-EG,10.42.228.66
SALAMC72-M01H-SUZ-EG,10.42.228.74
MRG2C29-M01H-C-EG,10.42.19.218
MARG2C37-M01Z-C-EG,10.41.46.250
Voice1179-M01H-C-EG,10.41.209.18
Voice1570-M02H-C-EG,10.41.209.19
MRG2C10-M01H-C-EG,10.41.209.34
MRG2C10-M02H-C-EG,10.41.209.35
MRG2CB11-M01H-C-EG,10.41.209.42
MRG2CB11-M02H-C-EG,10.41.209.43
MRG2CB12-M01H-C-EG,10.41.209.50
MRG2CB12-M02H-C-EG,10.41.209.51
Voice1442-M01H-C-EG,10.41.209.26
Voice1443-M02H-C-EG,10.41.209.27
MRG2CB13-M01H-C-EG,10.41.209.58
MRG2CB13-M02H-C-EG,10.41.209.59
Voice1248-M01H-C-EG,10.41.160.114
Voice1119-M01H-C-EG,10.41.165.102
Voice1264-M01H-C-EG,10.41.172.178
Voice1263-M01H-C-EG,10.41.165.106
Voice1875-M01H-C-EG,10.41.177.170
MRG2CB20-M01H-C-EG,10.40.97.82
MRG2CB21-M01H-C-EG,10.40.179.90
MRG2CB22-M01H-C-EG,10.40.179.98
MRG2CB23-M01H-C-EG,10.40.179.106
MRG2CB24-M01H-C-EG,10.40.179.114
MRG2CB25-M01H-C-EG,10.40.179.122
MRG2CB26-M01H-C-EG,10.40.179.130
Voice1262-M01H-C-EG,10.41.217.166
MRG2C27-M01H-C-EG,10.42.19.202
MRG2C28-M01H-C-EG,10.42.19.210
MARG2C205-M01Z-C-EG,10.42.203.194
MARG2C78-M02N-C-EG,10.42.203.195
MARG2C79-M01N-C-EG,10.42.203.202
